epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5251.71,2.22521,3.44058,2.16043,0.29984,0.09834,0.01939,0.00527,2.74891,4.10233,2.41773,0.000415749,0.000415749,0.000415749
2,10268.6,2.15965,2.94228,2.11291,0.36482,0.11292,0.05819,0.01673,2.50476,3.94738,2.37071,0.000667597,0.000667597,0.000667597
3,15158.1,2.11901,2.79007,2.06789,0.13065,0.1358,0.06532,0.01983,2.46041,3.5553,2.26728,0.000754446,0.000754446,0.000754446
4,257062,2.05151,2.65406,2.01913,0.22416,0.20026,0.14519,0.05038,2.25677,2.79972,2.12199,0.0005075,0.0005075,0.0005075
5,263434,1.98192,2.52405,1.95423,0.26586,0.22553,0.17133,0.06448,2.17441,2.59619,2.05971,0.00026,0.00026,0.00026
